country_id,value
AD,470.00
AE,83600.00
AF,652860.00
AG,440.00
AL,27400.00
AM,28470.00
AO,1246700.00
AR,2736690.00
AT,82409.00
AU,7682300.00
AZ,82658.00
BA,51000.00
BB,430.00
BD,130170.00
BE,30280.00
BF,273600.00
BG,108560.00
BH,760.00
BI,25680.00
BJ,112760.00
BN,5270.00
BO,1083300.00
BR,8358140.00
BS,10010.00
BT,38117.00
BW,566730.00
BY,202910.00
BZ,22810.00
CA,9093510.00
CD,2267050.00
CF,622980.00
CG,341500.00
CH,39516.00
CI,318000.00
CL,743532.00
CM,472710.00
CN,9388211.00
CO,1109500.00
CR,51060.00
CU,106440.00
CV,4030.00
CY,9240.00
CZ,77240.00
DE,348560.00
DJ,23180.00
DK,42430.00
DM,750.00
DO,48320.00
DZ,2381740.00
EC,248360.00
EE,42390.00
EG,995450.00
ER,101000.00
ES,498800.00
ET,1000000.00
FI,303890.00
FJ,18270.00
FM,700.00
FR,547557.00
GA,257670.00
GB,241930.00
GD,340.00
GE,69490.00
GH,227540.00
GM,10120.00
GN,245720.00
GQ,28050.00
GR,128900.00
GT,107160.00
GW,28120.00
GY,196850.00
HN,111890.00
HR,55960.00
HT,27560.00
HU,90530.00
ID,1811570.00
IE,68890.00
IL,21640.00
IN,2973190.00
IQ,434320.00
IR,1628550.00
IS,100250.00
IT,294140.00
JM,10830.00
JO,88780.00
JP,364555.00
KE,569140.00
KG,191800.00
KH,176520.00
KI,810.00
KM,1861.00
KN,260.00
KP,120410.00
KR,97230.00
KW,17820.00
KZ,2699700.00
LA,230800.00
LB,10230.00
LC,610.00
LI,160.00
LK,62710.00
LR,96320.00
LS,30360.00
LT,62674.00
LU,2590.00
LV,62200.00
LY,1759540.00
MA,446300.00
MC,1.00
MD,32850.00
ME,13450.00
MG,581795.00
MH,180.00
MK,25220.00
ML,1220190.00
MM,653290.00
MN,1553560.00
MR,1030700.00
MT,320.00
MU,2030.00
MV,300.00
MW,94280.00
MX,1943950.00
MY,328550.00
MZ,786380.00
NA,823290.00
NE,1266700.00
NG,910770.00
NI,120340.00
NL,33720.00
NO,365268.00
NP,143350.00
NR,20.00
NZ,263310.00
OM,309500.00
PA,74340.00
PE,1280000.00
PG,452860.00
PH,298170.00
PK,770880.00
PL,306230.00
PS,6020.00
PT,91590.00
PW,460.00
PY,397300.00
QA,11610.00
RO,230170.00
RS,87460.00
RU,16376870.00
RW,24670.00
SA,2149690.00
SB,27990.00
SC,460.00
SD,1765048.00
SE,410340.00
SG,700.00
SI,20140.00
SK,48088.00
SL,72180.00
SM,60.00
SN,192530.00
SO,627340.00
SR,156000.00
SS,610952.00
ST,960.00
SV,20720.00
SY,183630.00
SZ,17200.00
TD,1259200.00
TG,54390.00
TH,510890.00
TJ,139960.00
TL,14870.00
TM,469930.00
TN,155360.00
TO,720.00
TR,769630.00
TT,5130.00
TV,30.00
TZ,885800.00
UA,579320.00
UG,199810.00
US,9147420.00
UY,175020.00
UZ,425400.00
VA,0.00
VC,390.00
VE,882050.00
VN,310070.00
VU,12190.00
WS,2830.00
YE,527970.00
ZA,1213090.00
ZM,743390.00
ZW,386850.00
TW,36193
GL,2166086.00
