country_id,value
AE,21.60
AL,8.01
AR,22.69
AT,1.13
AU,21.17
BB,26.79
BD,20.15
BE,4.30
BG,0.41
BH,19.76
BI,21.19
BJ,28.24
BO,9.15
BR,23.71
BS,23.40
BY,-2.67
BZ,25.02
CA,-5.90
CF,25.33
CG,25.75
CH,1.82
CI,27.28
CN,4.29
CO,13.29
CR,22.52
CU,21.83
CY,11.81
CZ,0.26
DE,1.49
DK,2.21
DO,25.42
DZ,11.99
EC,20.98
EG,16.05
ES,8.69
ET,16.01
FI,-2.02
FR,6.23
GA,26.91
GB,5.92
GE,3.90
GM,24.83
GN,27.93
GR,11.82
GT,17.84
GW,26.53
GY,28.30
HN,20.10
HR,2.15
HT,28.44
HU,0.35
ID,28.08
IE,5.73
IL,16.09
IN,21.46
IS,0.97
IT,6.00
JO,10.26
JP,4.47
KE,19.95
KG,-1.14
KP,-3.08
KR,-1.10
KW,14.95
KZ,-3.97
LA,23.70
LB,16.18
LK,26.30
LV,-0.79
MA,13.09
MG,20.70
MK,1.78
MM,25.98
MN,-21.62
MR,22.73
MW,22.55
MX,15.47
MY,27.24
MZ,26.19
NA,24.60
NG,26.49
NI,26.70
NL,4.52
NO,-3.79
NP,11.57
NZ,18.23
OM,23.94
PA,26.91
PE,20.68
PH,26.86
PK,16.03
PL,-0.15
PT,11.96
QA,20.55
RO,0.29
RU,-3.70
SA,16.68
SE,-0.04
SG,26.95
SK,1.07
SL,28.06
SN,23.95
SR,26.16
SY,7.89
TG,28.15
TH,27.00
TJ,4.82
TM,5.07
TN,13.21
TR,4.81
TZ,27.96
UA,-1.78
UG,22.47
US,3.78
UY,20.93
UZ,3.43
VE,26.70
VN,18.25
ZA,20.46
ZM,21.96
BW,27.13
LY,13.74
ST,25.07
GQ,21.75
GH,27.33
AZ,7.98
LC,24.49
AG,26.38
ME,7.36
SD,24.67
VU,22.37
MC,6.52
SZ,22.8
BN,25.96
NE,21.09
SC,24.18
CL,18.94
FM,28.04
VA,10.03
TL,23.05
SB,23.28
PG,16.08
PY,29.75
FJ,23.15
TV,28.55
PW,27.29
VC,27.23
LS,15.31
SO,27.69
CD,24.85
MU,22.49
AO,22.14
BT,3.46
MD,2.45
CM,21.79
JM,24.0
AD,1.48
BA,-1.66
NR,27.93
SS,29.76
GD,26.97
KI,28.65
MT,16.3
PS,13.39
KM,28.13
TD,22.12
SI,5.1
AM,-6.15
DM,22.9
DJ,18.79
EE,-3.45
MH,27.8
MV,27.78
LU,4.65
ER,28.32
ZW,24.35
SM,7.67
TW,6.37
LT,0.57
TO,25.89
IQ,13.92
IR,12.1
RW,19.05
SV,25.38
LR,25.53
AF,-6.63
ML,20.66
YE,18.83
LI,-5.33
CV,24.46
BF,23.66
WS,27.41
TT,24.59
KH,26.92
KN,21.94
RS,4.86
GL,-4.58
