country_id,value
AD,83753
AE,11574682
AF,45047069
AG,94626
AL,2751025
AM,2930915
AO,40215179
AR,46003734
AT,9107266
AU,27227096
AZ,10454855
BA,3114242
BB,282724
BD,177818044
BE,11774642
BF,24601700
BG,6667659
BH,1675572
BI,14729157
BJ,15170419
BN,469775
BO,12749291
BR,213562666
BS,404628
BT,802214
BW,2603388
BY,8937018
BZ,428644
CA,40467728
CD,116452162
CF,5698984
CG,6637785
CH,9007798
CI,33494346
CL,19945850
CM,30640817
CN,1412914089
CO,53936226
CR,5174789
CU,10892659
CV,529630
CY,1382334
CZ,10527781
DE,83644258
DJ,1199459
DK,6023520
DM,65511
DO,11609500
DZ,48028334
EC,18444506
EE,1331062
EG,120101175
ER,3682669
ES,47850793
ET,138902185
FI,5621739
FJ,937282
FM,114183
FR,66746401
GA,2647399
GB,69931528
GD,117362
GE,3804642
GH,35697557
GM,2884079
GN,15441993
GQ,1984468
GR,9897115
GT,18967978
GW,2297808
GY,840890
HN,11184760
HR,3822345
HT,12037506
HU,9585818
ID,287886782
IE,5356950
IL,9647689
IN,1476625576
IQ,48007437
IR,93168497
IS,402329
IT,58926166
JM,2833403
JO,11589532
JP,122427731
KE,58636412
KG,7400465
KH,18051219
KI,138445
KM,899010
KN,46992
KP,26633691
KR,51600388
KW,5102773
KZ,21083626
LA,7974017
LB,5897467
LC,180488
LI,40368
LK,23348315
LR,5853949
LS,2389336
LT,2797338
LU,687448
LV,1835935
LY,7539851
MA,38762441
MC,38087
MD,2961253
ME,626233
MG,33522052
MH,35075
MK,1804063
ML,25932275
MM,55184819
MN,3556798
MR,5461319
MT,549011
MU,1265059
MV,531517
MW,22785535
MX,132997658
MY,36385115
MZ,36639851
NA,3153246
NE,28814878
NG,242431832
NI,7097329
NL,18448775
NO,5652989
NP,29629410
NR,12101
NZ,5287479
OM,5671458
PA,4625718
PE,34922148
PG,10947848
PH,117724471
PK,259299791
PL,37843188
PS,5692790
PT,10395362
PW,17614
PY,7095279
QA,3173559
RO,18800605
RS,6641964
RU,143394458
RW,14889693
SA,35165787
SB,858288
SC,134959
SD,53282719
SE,10701047
SG,5905748
SI,2114573
SK,5451342
SL,8996745
SM,33605
SN,19366548
SO,20305907
SR,645256
SS,12436037
ST,244994
SV,6391253
SY,26472497
SZ,1269859
TD,21560380
TG,9930918
TH,71559614
TJ,10978599
TL,1436923
TM,7736632
TN,12415138
TO,103291
TR,87926082
TT,1513268
TV,9362
TZ,72563780
UA,39535849
UG,52761469
US,349035494
UY,3382537
UZ,37724223
VA,506
VC,99245
VE,28633711
VN,102177431
VU,342564
WS,220528
YE,42961653
ZA,65453084
ZM,22521915
ZW,17273580
TW,23800000
GL,56750
