country_id,value
AE,31.67
AL,16.22
AR,13.99
AT,13.68
AU,14.30
BB,27.76
BD,28.91
BE,11.21
BG,14.04
BH,29.34
BI,21.69
BJ,29.01
BO,8.43
BR,20.41
BS,25.55
BY,12.30
BZ,28.70
CA,7.31
CF,26.87
CG,27.73
CH,12.93
CI,28.50
CN,22.68
CO,14.78
CR,24.19
CU,25.36
CY,22.25
CZ,10.06
DE,10.96
DK,8.65
DO,28.33
DZ,20.46
EC,28.90
EG,23.53
ES,18.20
ET,18.62
FI,6.98
FR,14.27
GA,27.92
GB,11.06
GE,17.58
GM,25.21
GN,28.87
GR,20.69
GT,21.81
GW,30.23
GY,28.33
HN,27.04
HR,15.79
HT,29.24
HU,13.55
ID,29.19
IE,9.19
IL,21.87
IN,30.33
IS,5.38
IT,17.10
JO,18.94
JP,17.74
KE,19.58
KG,17.88
KP,17.59
KR,17.59
KW,30.14
KZ,17.25
LA,31.89
LB,20.32
LK,29.10
LV,9.06
MA,18.99
MG,18.63
MK,14.39
MM,31.50
MN,10.38
MR,25.44
MW,19.80
MX,22.89
MY,29.39
MZ,21.91
NA,20.51
NG,31.96
NI,29.07
NL,10.99
NO,6.16
NP,18.88
NZ,15.07
OM,33.78
PA,28.57
PE,18.95
PH,31.72
PK,28.88
PL,11.09
PT,17.00
QA,30.88
RO,16.00
RU,12.36
SA,30.09
SE,7.61
SG,28.74
SK,13.50
SL,28.60
SN,22.83
SR,26.13
SY,17.84
TG,28.58
TH,29.85
TJ,19.38
TM,22.02
TN,22.30
TR,14.33
TZ,26.25
UA,12.12
UG,22.65
US,14.73
UY,14.03
UZ,21.28
VE,26.79
VN,28.23
ZA,16.39
ZM,19.04
BW,21.26
LY,27.09
ST,25.54
GQ,21.9
GH,28.74
AZ,20.91
LC,25.82
AG,27.13
ME,16.96
SD,32.92
VU,21.21
MC,15.81
SZ,18.22
BN,26.6
NE,35.26
SC,25.29
CL,10.82
FM,27.84
VA,17.58
TL,19.8
SB,23.11
PG,15.83
PY,21.41
FJ,21.65
TV,28.37
PW,27.07
VC,27.33
LS,6.97
SO,29.96
CD,26.2
MU,20.7
AO,21.4
BT,11.06
MD,15.67
CM,22.34
JM,25.37
AD,6.03
BA,7.2
NR,27.86
SS,30.96
GD,27.24
KI,28.23
MT,18.83
PS,19.56
KM,27.26
TD,35.49
SI,14.35
AM,3.62
DM,24.55
DJ,24.66
EE,11.36
MH,27.59
MV,28.07
LU,13.13
ER,32.71
ZW,19.96
SM,14.75
TW,10.63
LT,12.71
TO,24.33
IQ,28.99
IR,27.29
RW,18.86
SV,26.47
LR,25.22
AF,3.54
ML,34.16
YE,28.74
LI,5.31
CV,23.39
BF,31.73
WS,27.58
TT,25.25
KH,29.5
KN,22.72
RS,15.15
GL,-0.07
